Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Check
Viêm gan C,Mệt mỏi,Vàng da,Khó chịu,Chán ăn,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,null,null,null,null,null,null,null,null,null,true
Viêm gan D,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Mắt vàng,null,null,null,null,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,true
Viêm gan E,Đau khớp,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Sốt cao,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Viêm gan E,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,Mất chức năng gan,Hôn mê,Xuất huyết dạ dày,null,null,null,null,null,true
Tăng huyết áp,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,null,null,null,null,null,null,null,null,null,null,null,null,true
Tăng huyết áp,Đau đầu,Đau ngực,Mất thăng bằng,Mất tập trung,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất tập trung,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Tăng huyết áp,Đau đầu,Chóng mặt,Mất thăng bằng,Mất tập trung,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Sụt cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Đổ mồ hôi,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,true
Cường giáp,Thay đổi tâm trạng,Sụt cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Tim đập nhanh,Đói quá mức,Yếu cơ,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đổ mồ hôi,Đau đầu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Đổ mồ hôi,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Lo lắng,Đổ mồ hôi,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Mệt mỏi,Lo lắng,Đổ mồ hôi,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đổ mồ hôi,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đổ mồ hôi,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đổ mồ hôi,Đau đầu,Khó chịu,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đổ mồ hôi,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Hạ đường huyết,Nôn mửa,Mệt mỏi,Lo lắng,Đau đầu,Khó chịu,Mờ mắt,Đói quá mức,Khô và ngứa môi,Nói lắp,Kích động,Nhịp tim không đều,null,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Uể oải,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,true
Suy giáp,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mắt và mặt sưng,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Bướu cổ,Móng tay dễ gãy,Sưng khuỷu tứ chi,Trầm cảm,Kích động,Rối loạn kinh nguyệt,null,null,null,null,null,true
Bệnh chốc,Phát ban,Sốt cao,Mụn nước,Mẫn đỏ quanh mũi,Chàm và rỉ nước,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh chốc,Sốt cao,Mụn nước,Mẫn đỏ quanh mũi,Chàm và rỉ nước,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh chốc,Phát ban,Mụn nước,Mẫn đỏ quanh mũi,Chàm và rỉ nước,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh chốc,Phát ban,Sốt cao,Mẫn đỏ quanh mũi,Chàm và rỉ nước,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh chốc,Phát ban,Sốt cao,Mụn nước,Chàm và rỉ nước,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh chốc,Phát ban,Sốt cao,Mụn nước,Mẫn đỏ quanh mũi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Sụt cân,Sốt cao,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sụt cân,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Vàng da,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Vàng da,Nước tiểu đậm màu,null,null,null,null,null,null,null,null,null,null,true
Vàng da,Ngứa,Mệt mỏi,Sụt cân,Sốt cao,Vàng da,Nước tiểu đậm màu,Đau bụng,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Sốt cao,Đổ mồ hôi,Đau đầu,Khó chịu,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Sốt cao,Đổ mồ hôi,Đau đầu,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,true
Sốt rét,Nôn mửa,Sốt cao,Đổ mồ hôi,Đau đầu,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Sốt cao,Đau đầu,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Sốt cao,Đổ mồ hôi,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Sốt cao,Đổ mồ hôi,Đau đầu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Sốt cao,Đổ mồ hôi,Đau đầu,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Sốt rét,Ớn lạnh,Nôn mửa,Đổ mồ hôi,Đau đầu,Khó chịu,Tiêu chảy,Đau cơ,null,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Kích động,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Trầm cảm,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Cứng cổ,Trầm cảm,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Đau nửa đầu,Tăng axit,Khó tiêu,Đau đầu,Mờ mắt,Đói quá mức,Cứng cổ,Kích động,Rối loạn tầm nhìn,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp hông,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau cổ,Đau đầu gối,Đau khớp hông,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau đầu gối,Đau khớp hông,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau cổ,Đau khớp hông,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp hông,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp hông,Xưng khớp,null,null,null,null,null,null,null,null,null,null,null,null,true
Xuất huyết não,Nôn mửa,Liệt nửa người,Tâm trạng thay đổi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Xuất huyết não,Nôn mửa,Đau đầu,Tâm trạng thay đổi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Xuất huyết não,Nôn mửa,Đau đầu,Liệt nửa người,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Xuất huyết não,Đau đầu,Liệt nửa người,Tâm trạng thay đổi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Xuất huyết não,Nôn mửa,Đau đầu,Liệt nửa người,Tâm trạng thay đổi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Đau đầu,Khó chịu,Chóng mặt,Mất thăng bằng,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Đau đầu,Khó chịu,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Đau đầu,Khó chịu,Chóng mặt,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Đau đầu,Khó chịu,Chóng mặt,Mất thăng bằng,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Khó chịu,Chóng mặt,Mất thăng bằng,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Đau đầu,Chóng mặt,Mất thăng bằng,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Chóng mặt kịch phát,Nôn mửa,Đau đầu,Khó chịu,Mất thăng bằng,Mất cân bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Khó tiêu,Chán ăn,Đau bụng,Đầy hơi,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Khó tiêu,Chán ăn,Đau bụng,Đầy hơi,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Khó tiêu,Chán ăn,Đau bụng,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Khó tiêu,Chán ăn,Đầy hơi,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Khó tiêu,Chán ăn,Đau bụng,Đầy hơi,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Khó tiêu,Đau bụng,Đầy hơi,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,null,true
Loét dạ dày tá tràng,Nôn mửa,Chán ăn,Đau bụng,Đầy hơi,Ngứa da,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Khó thở,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Viêm phổi,Ớn lạnh,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu,Đờm,Đau ngực,Tim đập nhanh,Đờm nâu,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Đau khớp,Bong tróc da,Móng có vết nứt nhỏ,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Bong tróc da,Nấm phấn trắng,Móng có vết nứt nhỏ,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Đau khớp,Bong tróc da,Nấm phấn trắng,Móng có vết nứt nhỏ,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Đau khớp,Bong tróc da,Nấm phấn trắng,Móng có vết nứt nhỏ,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Đau khớp,Bong tróc da,Nấm phấn trắng,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Đau khớp,Bong tróc da,Nấm phấn trắng,Móng có vết nứt nhỏ,null,null,null,null,null,null,null,null,null,null,null,null,true
Vẩy nến,Phát ban,Đau khớp,Nấm phấn trắng,Móng có vết nứt nhỏ,Viêm quanh móng,null,null,null,null,null,null,null,null,null,null,null,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Sụt cân,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Sụt cân,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Nôn mửa,Mệt mỏi,Sụt cân,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Mệt mỏi,Sụt cân,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Nôn mửa,Sụt cân,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Sụt cân,Ho,Sốt cao,Khó thở,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Sụt cân,Ho,Sốt cao,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Lao,Ớn lạnh,Nôn mửa,Mệt mỏi,Sụt cân,Ho,Khó thở,Đổ mồ hôi,Chán ăn,Sốt nhẹ,Mắt vàng,Hạch bạch hầu,Khó chịu,Đờm,Đau ngực,Ho ra máu,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Đau bụng,Tiêu chảy,Sốt phát ban,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Đau bụng,Tiêu chảy,Đau bụng,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Đau bụng,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Đau bụng,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Đau bụng,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Táo bón,Đau bụng,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
